classTitle,x1,y1,x2,y2
OpeningBracket,241,520,260,731
OpeningBracket,133,954,152,1164
OpeningBracket,133,1388,152,1598
OpeningBracket,133,1821,152,2031
OpeningBracket,133,2253,152,2462
One,625,506,658,562
GClef,282,497,320,601
GClef,174,929,213,1034
GClef,174,1364,212,1468
FClef,175,1542,214,1589
FClef,174,1975,214,2022
GClef,174,1797,212,1902
GClef,174,2229,213,2333
FClef,175,2407,214,2455
FClef,283,675,323,722
FClef,175,1109,214,1155
One,288,2259,320,2315
One,287,2393,321,2463
One,451,2394,485,2463
One,656,2400,688,2471
One,819,2401,853,2471
One,1047,2408,1081,2478
One,1221,2408,1254,2478
One,1434,2408,1468,2478
One,1607,2408,1641,2478
One,671,2238,704,2294
One,1046,2273,1081,2329
One,1649,1983,1683,2053
One,1548,1983,1582,2053
One,1132,1990,1166,2046
One,1022,1990,1056,2046
One,912,1955,946,2011
One,774,1955,808,2011
One,643,1962,677,2017
One,539,1962,575,2018
One,412,1955,446,2010
One,261,1955,295,2010
One,1564,1806,1598,1862
One,1683,1528,1717,1584
One,1560,1528,1595,1584
One,1438,1521,1473,1577
One,1292,1521,1326,1577
One,1155,1564,1188,1620
One,1045,1514,1079,1570
One,909,1536,943,1591
One,774,1535,807,1591
One,648,1543,683,1599
One,525,1528,558,1584
One,386,1521,419,1577
One,261,1521,295,1577
Half,277,1393,311,1450
Half,339,1387,374,1443
Half,402,1378,435,1437
Quarter,464,1375,498,1437
Quarter,502,1373,536,1429
Half,540,1380,574,1437
Half,603,1385,636,1458
One,648,1408,683,1464
One,277,982,311,1045
One,399,981,433,1038
One,521,974,556,1031
One,643,967,677,1024
One,1676,1095,1711,1150
One,1572,1095,1607,1150
One,1444,1087,1478,1143
One,1292,1088,1326,1143
One,1166,1095,1201,1150
One,1045,1095,1079,1150
One,924,1087,957,1143
One,776,1088,811,1143
One,627,1095,661,1150
One,505,1101,539,1158
One,383,1108,417,1165
One,262,1116,295,1172
One,730,527,763,583
Half,1066,492,1100,548
Half,1132,494,1166,555
Half,1199,496,1232,570
Half,1266,498,1301,591
Half,1530,510,1564,590
Half,1595,512,1630,570
Half,1663,514,1697,590
Half,1730,517,1763,605
Half,793,952,826,1018
Half,940,944,972,1002
Half,1000,939,1035,995
Half,1061,946,1094,1002
Half,1121,951,1154,1024
Half,1308,952,1341,1017
Half,1460,945,1492,1002
Half,790,1359,822,1415
Half,858,1361,891,1422
Half,925,1363,959,1429
Half,994,1366,1027,1436
Half,1308,1386,1342,1450
Half,1455,1379,1488,1437
Half,1516,1373,1551,1429
Half,1577,1380,1609,1437
Half,1637,1385,1671,1458
Half,277,1819,310,1884
Half,428,1812,462,1870
Half,492,1806,528,1862
Half,790,1819,824,1884
Half,928,1813,962,1870
Half,984,1818,1017,1891
Half,1021,1827,1056,1892
Half,1077,1841,1111,1897
Half,1221,1819,1256,1884
Half,1315,1792,1349,1848
Half,1378,1794,1410,1856
Half,1440,1796,1473,1862
Half,1502,1798,1535,1869
Half,1727,1832,1761,1891
Half,467,2231,501,2288
Half,569,2237,603,2294
Half,818,2259,853,2324
Half,921,2274,955,2330
Half,1236,2246,1269,2302
Half,1343,2251,1378,2316
Double,411,540,445,597
Double,876,534,910,590
Double,1356,527,1390,583
Double,1530,668,1566,725
Double,1356,661,1390,718
Double,1050,696,1084,752
Double,875,689,911,746
Double,607,682,643,739
Double,411,675,445,731
Double,1589,946,1624,1003
Half,1523,939,1559,995
Double,1061,1373,1095,1429
Double,556,1813,591,1870
Double,1299,1968,1333,2039
Double,1451,2258,1485,2316
Quarter,893,946,927,1002
Quarter,853,948,887,1009
Quarter,1372,949,1406,1009
Quarter,1413,946,1447,1002
Quarter,1369,1382,1403,1443
Quarter,1409,1380,1442,1437
Quarter,341,1815,376,1877
Quarter,382,1813,416,1869
Quarter,845,1815,878,1877
Quarter,882,1813,916,1869
Quarter,1148,1813,1180,1869
Quarter,1184,1816,1218,1869
RestOne,1183,960,1197,1001
RestOne,1699,1393,1713,1435
RestHalf,1665,1836,1680,1862
