classTitle,x1,y1,x2,y2
FClef,170,459,210,506
FClef,170,965,210,1011
FClef,170,1471,210,1517
FClef,170,1976,210,2023
FClef,170,2480,210,2527
GClef,169,2299,209,2406
GClef,169,1796,208,1901
GClef,170,1291,208,1396
GClef,169,784,208,890
GClef,169,279,208,384
OpeningBracket,129,303,147,515
OpeningBracket,129,808,147,1021
OpeningBracket,129,1316,148,1525
OpeningBracket,129,1820,146,2031
OpeningBracket,129,2325,147,2532
Half,271,289,305,345
Half,342,293,374,361
Half,619,301,654,360
Half,690,295,724,354
Half,892,301,926,360
Half,958,295,991,353
Half,1145,296,1178,353
Half,1211,300,1245,359
Half,440,430,475,525
Half,1025,443,1058,501
Half,1194,452,1229,525
Half,475,962,509,1021
Half,665,986,701,1044
Half,682,799,716,858
Half,788,799,820,859
Half,1206,827,1239,886
Half,1304,808,1340,864
Half,1367,807,1400,864
Half,1429,806,1463,865
Half,1491,807,1525,865
Half,1552,815,1587,872
Half,1615,816,1649,872
Half,1677,819,1711,872
Half,1739,822,1773,879
Half,969,955,1004,1015
Half,1553,962,1587,1022
Half,1723,985,1757,1044
Half,434,1462,468,1520
Half,994,1468,1027,1528
Half,1202,1447,1235,1506
Half,1306,1447,1340,1507
Half,1501,1462,1534,1520
Half,994,1298,1027,1356
Half,1202,1290,1236,1349
Half,1306,1293,1340,1350
Half,1370,1295,1406,1357
Half,1436,1297,1469,1364
Half,1500,1299,1535,1364
Half,1566,1305,1599,1364
Half,1736,1313,1770,1371
Half,268,1789,303,1862
Half,333,1790,367,1848
Half,398,1792,431,1862
Half,463,1795,497,1876
Half,528,1811,562,1869
Half,697,1818,731,1876
Half,1175,1834,1208,1892
Half,1289,1833,1324,1898
Half,1352,1841,1386,1899
Half,1414,1841,1448,1902
Half,1475,1848,1509,1904
Half,1554,1805,1588,1862
Half,1615,1807,1650,1869
Half,1677,1809,1711,1869
Half,1739,1812,1773,1876
Half,527,1960,562,2019
Half,681,1968,715,2043
Half,1722,1947,1757,2042
Half,272,2316,304,2373
Half,340,2314,373,2381
Half,409,2312,442,2373
Half,476,2309,510,2366
Half,544,2308,578,2367
Half,783,2293,818,2366
Half,848,2295,882,2351
Half,912,2298,946,2366
Half,977,2299,1010,2380
Half,1041,2315,1075,2373
Half,1210,2322,1244,2379
Half,459,2452,495,2546
Half,1041,2464,1076,2522
Half,1192,2472,1228,2546
One,255,430,289,522
One,1091,445,1125,502
One,1025,288,1059,345
One,1657,302,1691,359
One,785,288,819,345
One,555,794,589,851
One,863,823,897,879
One,1045,823,1079,880
One,555,965,588,1021
One,770,985,806,1042
One,1615,964,1649,1021
One,638,1335,671,1392
One,252,1492,286,1548
One,1074,1300,1107,1356
One,1631,1314,1665,1370
One,1074,1471,1106,1526
One,1371,1456,1405,1513
One,593,1813,627,1869
One,593,1962,627,2019
One,1536,1955,1572,2025
One,256,2452,289,2545
One,1106,2465,1140,2522
One,1106,2316,1141,2374
One,612,2324,648,2380
Double,412,303,446,359
Double,512,430,546,523
Double,768,465,803,522
Double,1301,303,1335,359
Double,268,794,301,851
Double,267,979,302,1035
Double,1045,957,1081,1014
Double,1304,979,1341,1036
Double,267,1329,304,1385
Double,511,1463,547,1520
Double,786,1485,821,1542
Double,786,1300,821,1357
Double,1566,1463,1601,1520
Double,786,1820,821,1876
Double,252,1983,286,2039
Double,1289,1968,1325,2039
Double,527,2451,563,2544
Double,768,2487,803,2544
Four,1301,452,1325,481
Four,786,1968,810,1998
Four,1298,2472,1321,2502
Four,1298,2366,1322,2381
RestOne,1522,308,1536,351
RestOne,511,1320,526,1363
RestHalf,475,825,490,850
RestHalf,1100,1836,1116,1861
RestHalf,1678,1992,1693,2018
