classTitle,x1,y1,x2,y2
OpeningBracket,141,345,157,620
OpeningBracket,142,978,157,1270
OpeningBracket,142,1614,158,1900
OpeningBracket,141,2260,157,2519
GClef,178,2228,223,2355
FClef,177,2455,226,2510
FClef,177,1835,225,1891
GClef,177,1582,223,1709
GClef,178,945,223,1073
FClef,177,1207,226,1264
FClef,177,553,227,609
GClef,178,313,222,440
Half,492,353,532,418
Half,571,345,612,417
Half,1414,340,1454,406
Half,1496,344,1536,415
Half,505,1010,546,1072
Half,608,995,646,1068
Half,875,986,914,1050
Half,974,968,1015,1045
Half,1076,977,1115,1059
Quarter,1193,995,1235,1063
Half,1299,969,1338,1033
Half,1399,960,1439,1030
Half,270,1622,309,1686
Half,368,1614,411,1683
Half,1011,1648,1053,1707
Half,1113,1632,1153,1704
Half,1380,1622,1421,1686
Half,1481,1605,1522,1683
Half,1582,1612,1622,1696
Quarter,1700,1632,1742,1700
Half,269,2251,309,2317
Half,381,2243,423,2312
Half,879,2192,920,2252
Half,994,2195,1034,2260
One,677,337,717,405
One,787,345,829,413
One,899,354,940,414
One,1036,362,1078,431
One,1146,337,1188,405
One,1278,328,1319,396
One,1576,337,1617,405
One,1687,328,1728,396
One,266,535,309,604
One,379,545,420,613
One,488,554,532,622
One,677,518,718,588
One,786,527,829,595
One,898,536,941,605
One,731,986,774,1055
One,1499,969,1539,1038
One,1638,977,1679,1063
One,1638,1198,1680,1267
One,1074,1181,1115,1250
One,469,1623,511,1691
One,609,1631,650,1700
One,1239,1622,1281,1691
One,609,1809,650,1878
One,1012,1810,1053,1879
One,1581,1810,1622,1879
One,496,2235,538,2302
One,655,2235,697,2346
One,1109,2209,1150,2269
One,1267,2200,1310,2260
One,655,2445,697,2514
One,859,2437,900,2505
One,1089,2420,1131,2488
One,1247,2428,1288,2497
Double,268,353,309,422
Double,1035,544,1077,613
Double,1396,518,1435,604
Double,265,995,310,1063
Double,267,1163,309,1249
Double,732,1189,773,1258
Double,1297,1197,1338,1266
Double,795,1597,836,1682
Double,266,1818,309,1887
Double,774,1800,816,1868
Double,1239,1818,1281,1887
Double,860,2268,899,2337
Double,1432,2251,1472,2358
Double,1432,2462,1472,2531
Double,266,2444,309,2514
RestOne,1267,2302,1284,2354
