classTitle,x1,y1,x2,y2
GClef,175,2133,220,2259
FClef,175,2387,223,2442
GClef,175,1575,220,1704
FClef,175,1835,223,1890
FClef,174,1277,223,1334
GClef,175,1048,220,1175
GClef,263,501,308,628
FClef,262,749,311,805
One,1346,542,1387,611
One,1571,524,1613,593
One,375,723,417,792
One,488,722,529,801
One,599,723,642,809
One,712,723,754,817
One,851,723,892,792
One,963,723,1004,801
One,1078,723,1117,809
One,1187,723,1230,801
One,1326,723,1367,792
One,1439,723,1480,801
One,1553,723,1592,809
One,1663,723,1705,818
One,259,1089,300,1158
One,350,1089,390,1158
One,441,1071,484,1140
One,650,1071,690,1141
One,740,1080,783,1149
One,832,1089,874,1158
One,924,1097,964,1166
One,1040,1089,1083,1158
One,1131,1089,1174,1158
One,1223,1072,1265,1140
One,1432,1080,1472,1148
One,1522,1063,1564,1131
One,1614,1063,1655,1131
One,1705,1080,1747,1148
One,238,1251,281,1320
One,329,1251,371,1329
One,421,1251,463,1338
One,512,1251,554,1345
One,629,1286,671,1354
One,721,1278,762,1346
One,811,1269,853,1337
One,903,1260,945,1328
One,1021,1251,1061,1320
One,1112,1250,1153,1328
One,1204,1251,1244,1337
One,1293,1251,1335,1345
One,1410,1251,1453,1337
One,1592,1251,1636,1337
One,1614,1599,1656,1669
One,259,1616,300,1685
One,349,1599,391,1669
One,441,1598,482,1668
One,648,1607,690,1676
One,739,1599,781,1668
One,830,1590,872,1659
One,922,1609,964,1676
One,1039,1598,1080,1668
One,1220,1599,1262,1669
One,1432,1616,1474,1685
One,238,1808,280,1876
One,330,1807,371,1885
One,421,1807,462,1893
One,511,1808,553,1901
One,628,1807,670,1894
One,810,1807,852,1894
One,1018,1833,1060,1902
One,1109,1825,1151,1894
One,1199,1815,1242,1885
One,1292,1834,1332,1902
One,1412,1808,1453,1876
One,1503,1808,1546,1885
One,1594,1808,1635,1894
One,1684,1808,1727,1901
One,259,2172,299,2242
One,383,2173,426,2242
One,508,2156,549,2225
One,782,2156,825,2225
One,907,2165,950,2233
One,1032,2173,1074,2242
One,1157,2182,1199,2251
One,1309,2190,1351,2259
One,238,2360,280,2429
One,364,2360,406,2437
One,488,2360,529,2447
One,612,2360,655,2455
One,762,2395,804,2463
One,887,2386,929,2455
One,1011,2377,1054,2446
One,1136,2369,1178,2437
Double,1558,2395,1599,2499
RestOne,1458,541,1475,592
RestOne,1683,540,1700,593
RestOne,532,1088,550,1140
RestOne,1314,1088,1330,1139
RestOne,1522,1284,1539,1336
RestOne,1705,1284,1721,1337
RestOne,1705,1615,1721,1667
RestOne,1524,1615,1540,1667
RestOne,1311,1614,1327,1666
RestOne,1129,1615,1145,1666
RestOne,531,1614,547,1666
RestOne,740,1841,756,1893
RestOne,922,1841,938,1893
RestOne,633,2172,649,2223
RestOne,1434,2172,1451,2223
