classTitle,x1,y1,x2,y2
GClef,269,503,308,608
GClef,161,851,199,956
GClef,160,1200,199,1305
GClef,161,1548,200,1653
GClef,161,1896,199,2001
GClef,161,2244,200,2349
FClef,161,2424,201,2470
FClef,161,2077,201,2124
FClef,161,1729,201,1775
FClef,161,1379,201,1427
FClef,161,1030,201,1078
FClef,270,683,310,729
Half,786,709,820,775
Half,888,711,922,768
Half,990,711,1025,768
Half,533,1056,565,1123
Half,606,1059,641,1116
Half,680,1059,716,1116
Half,1718,885,1750,946
Half,1570,1015,1603,1074
Half,1627,1052,1663,1109
Half,1703,1052,1736,1109
Half,290,1228,324,1287
Half,568,1220,602,1279
Half,660,1214,694,1273
Half,937,1235,971,1294
Half,1058,1202,1091,1287
Half,1150,1199,1183,1280
Half,1241,1197,1275,1273
Half,1334,1195,1368,1251
Half,1426,1202,1458,1258
Half,1517,1202,1552,1287
Half,1609,1202,1643,1273
Half,1701,1202,1735,1258
Half,585,1550,619,1607
Half,656,1554,691,1614
Half,728,1557,763,1621
Half,800,1578,834,1636
Half,871,1578,906,1642
Half,944,1579,978,1636
Half,1689,1584,1723,1642
Half,1482,1712,1515,1771
Half,1569,1749,1603,1806
Half,1673,1749,1707,1805
Half,262,1925,294,1985
Half,544,1917,578,1977
Half,638,1909,672,1970
Half,921,1932,955,1992
Half,1042,1898,1078,1984
Half,1137,1896,1170,1976
Half,1230,1893,1265,1970
Half,1324,1892,1359,1948
Half,1401,1941,1436,2014
Half,1497,1955,1529,2012
Half,1590,1941,1624,2010
Half,1683,1920,1717,2007
Half,1495,2097,1529,2156
Half,1590,2096,1624,2154
Half,1684,2091,1717,2148
Half,1438,2407,1472,2467
Half,1532,2444,1565,2501
Half,1642,2445,1675,2501
Four,1120,745,1143,761
RestOne,1496,881,1510,923
RestHalf,1644,891,1659,917
RestHalf,458,1048,474,1073
RestHalf,1495,1047,1510,1073
RestHalf,383,1239,398,1265
RestHalf,475,1239,490,1265
RestHalf,753,1239,768,1265
RestHalf,845,1239,860,1265
RestHalf,1585,1588,1600,1613
RestHalf,1378,1744,1393,1771
RestHalf,356,1936,371,1962
RestHalf,450,1936,464,1963
RestHalf,733,1936,748,1962
RestHalf,826,1936,841,1962
RestHalf,1418,2093,1433,2119
RestHalf,1328,2440,1343,2466
Double,1040,2438,1076,2495
Double,1042,1757,1078,1820
Double,277,1550,311,1608
Double,265,1051,299,1110
RestHalf,684,699,699,725
Four,783,1095,806,1110
Double,1302,1052,1336,1110
One,274,1394,308,1450
One,660,1372,694,1429
RestOne,475,1386,490,1428
RestOne,846,1386,860,1428
Four,1058,1443,1081,1458
One,1043,1579,1077,1636
RestOne,1211,1578,1225,1620
RestOne,1378,1578,1392,1620
One,277,1714,310,1771
One,585,1735,618,1793
RestOne,431,1734,445,1776
RestOne,801,1734,815,1776
RestOne,450,2082,464,2125
One,245,2090,280,2147
One,638,2069,672,2126
RestOne,827,2083,841,2125
One,1043,2098,1076,2154
RestOne,1231,2083,1245,2125
Four,277,2267,301,2282
One,261,2430,295,2487
One,639,2409,674,2467
RestOne,459,2430,473,2472
RestOne,820,2430,834,2472
