classTitle,x1,y1,x2,y2
GClef,263,507,308,633
FClef,263,751,311,804
FClef,176,1282,224,1337
GClef,176,1050,221,1176
GClef,176,1574,221,1700
GClef,176,2155,221,2282
FClef,175,2391,224,2447
FClef,176,1822,224,1876
Half,1035,534,1076,599
Half,1142,535,1184,607
Half,1252,536,1294,616
Half,1361,539,1403,624
Half,968,1077,1008,1142
Half,1086,1079,1126,1151
Half,1205,1079,1246,1160
Half,1324,1082,1365,1169
Half,435,1618,478,1683
Half,563,1614,602,1675
Half,1219,1616,1259,1683
Half,1346,1614,1386,1673
Half,259,2169,301,2249
Half,334,2170,374,2239
Half,408,2171,449,2248
Half,481,2170,524,2256
Half,813,2171,853,2247
Half,887,2171,927,2239
Half,961,2171,1001,2247
Half,1035,2171,1077,2257
One,361,555,403,624
One,531,530,574,599
One,687,555,730,625
One,857,530,900,599
One,1496,547,1536,615
One,1646,564,1686,633
One,511,750,553,849
One,838,750,879,848
One,1232,750,1274,848
One,1625,750,1668,848
One,239,1099,282,1167
One,424,1073,465,1142
One,593,1098,636,1167
One,778,1073,819,1142
One,1468,1090,1509,1160
One,1633,1108,1673,1176
One,403,1281,445,1380
One,758,1281,799,1380
One,1185,1282,1227,1380
One,1611,1282,1654,1380
One,260,1613,302,1683
One,1043,1614,1085,1683
One,1198,1796,1240,1881
One,415,1795,457,1882
One,582,2196,624,2265
One,685,2205,725,2274
One,1135,2196,1177,2265
One,1237,2205,1279,2274
One,1366,2196,1407,2283
One,1468,2205,1509,2291
One,1345,2390,1387,2459
One,1468,2399,1510,2468
Double,714,1597,757,1667
Double,1498,1597,1541,1667
Double,1477,1803,1520,1906
Double,695,1803,736,1890
Double,562,2364,603,2467
Double,1115,2380,1156,2484
Double,1575,2390,1618,2488
Double,1595,2213,1639,2283
RestOne,381,757,397,809
RestOne,708,757,724,810
RestOne,1034,757,1050,809
RestOne,1496,757,1512,809
RestOne,260,1289,277,1341
RestOne,614,1289,631,1341
RestOne,968,1289,985,1341
RestOne,1468,1288,1485,1341
RestOne,1044,1829,1060,1881
RestOne,260,1829,277,1881
