classTitle,x1,y1,x2,y2
Half,509,313,541,370
Half,259,312,292,371
Half,322,312,355,370
Half,385,312,417,371
Half,447,312,479,371
Half,572,312,604,369
Half,633,313,666,370
Half,696,312,728,369
Half,758,312,791,369
Half,821,312,854,369
Half,882,313,915,370
Half,945,312,978,369
Half,1031,312,1064,369
Half,1094,312,1126,369
Half,1155,313,1188,370
Half,1218,313,1250,370
Half,1280,313,1312,370
Half,1342,312,1375,369
Half,1405,313,1437,370
Half,1467,313,1500,370
Half,1529,312,1562,369
Half,1591,319,1624,376
Half,1653,319,1686,377
Half,1716,320,1749,377
Half,259,462,293,519
Half,1654,469,1686,526
Half,323,461,354,519
Half,385,462,417,519
Half,448,462,480,519
Half,510,462,542,519
Half,572,462,604,519
Half,634,462,666,520
Half,696,461,728,519
Half,759,461,791,518
Half,821,461,853,519
Half,884,462,916,520
Half,946,462,978,519
Half,1031,461,1063,519
Half,1095,462,1126,520
Half,1156,462,1188,521
Half,1219,461,1251,519
Half,1281,462,1312,520
Half,1344,461,1376,520
Half,1406,462,1437,520
Half,1469,462,1501,520
Half,1531,462,1562,521
Half,1593,469,1624,526
Half,1718,470,1750,526
Half,1717,728,1750,784
Half,260,728,292,784
Half,322,728,355,784
Half,385,728,417,784
Half,447,728,479,785
Half,508,728,541,784
Half,572,728,604,785
Half,634,728,666,784
Half,696,728,728,784
Half,758,727,790,784
Half,821,728,853,785
Half,882,728,915,784
Half,945,728,978,785
Half,1031,728,1063,785
Half,1093,728,1126,784
Half,1155,728,1188,785
Half,1218,729,1250,785
Half,1280,728,1312,784
Half,1343,728,1375,785
Half,1405,728,1437,785
Half,1467,728,1500,784
Half,1529,728,1562,784
Half,1592,728,1624,784
Half,1654,728,1686,784
Half,1716,878,1749,935
Half,259,878,292,934
Half,322,878,354,935
Half,384,878,417,934
Half,446,878,479,935
Half,508,878,541,934
Half,571,878,604,935
Half,633,878,666,935
Half,695,878,728,935
Half,758,878,791,935
Half,821,878,853,935
Half,883,878,915,935
Half,945,878,978,935
Half,1031,878,1064,935
Half,1093,878,1126,935
Half,1156,878,1188,935
Half,1218,878,1250,935
Half,1279,878,1312,935
Half,1343,878,1375,934
Half,1404,878,1437,935
Half,1467,878,1500,935
Half,1529,878,1562,935
Half,1592,878,1625,934
Half,1654,879,1687,935
Half,258,1122,292,1179
Half,320,1122,354,1179
Half,382,1123,416,1180
Half,444,1123,478,1180
Half,506,1122,540,1180
Half,569,1122,602,1180
Half,631,1122,665,1179
Half,692,1122,726,1180
Half,754,1122,788,1180
Half,817,1122,851,1180
Half,878,1123,912,1180
Half,940,1122,974,1180
Half,1026,1122,1060,1180
Half,1098,1122,1131,1180
Half,1171,1122,1204,1179
Half,1242,1123,1276,1180
Half,1316,1122,1350,1180
Half,1388,1122,1422,1180
Half,1389,1273,1421,1329
Half,260,1272,292,1329
Half,321,1272,354,1329
Half,384,1273,416,1329
Half,508,1272,540,1329
Half,446,1273,478,1329
Half,570,1272,602,1328
Half,632,1272,665,1329
Half,694,1273,726,1329
Half,756,1273,788,1329
Half,818,1273,850,1329
Half,880,1272,912,1329
Half,942,1273,974,1329
Half,1028,1272,1060,1329
Half,1099,1272,1132,1329
Half,1171,1272,1204,1329
Half,1244,1272,1276,1329
Half,1317,1272,1349,1329
GClef,177,691,215,795
GClef,177,290,215,396
GClef,177,454,215,558
GClef,177,855,214,959
GClef,177,1092,214,1196
GClef,177,1255,215,1360
GClef,177,1509,214,1612
FClef,177,1686,217,1733
GClef,176,1900,215,2005
GClef,176,2292,215,2396
FClef,176,2078,216,2127
FClef,177,2471,216,2518
OpeningBracket,135,313,154,532
OpeningBracket,135,715,154,931
OpeningBracket,135,1116,154,1334
OpeningBracket,135,1533,154,1744
OpeningBracket,136,1924,154,2135
OpeningBracket,135,2316,156,2528
One,1458,1122,1493,1178
One,1459,1273,1493,1329
FClef,1750,1283,1781,1318
One,1008,1512,1043,1603
One,1143,1518,1178,1609
One,992,1687,1027,1742
One,1129,1694,1161,1750
One,496,1903,530,1988
One,630,1910,664,1994
One,1524,1917,1558,2001
One,1659,1917,1692,2001
One,1524,2065,1558,2121
One,1659,2064,1692,2121
One,480,2093,514,2148
One,614,2100,649,2156
One,785,2301,819,2387
One,769,2491,803,2547
Double,275,1510,309,1602
Double,503,1539,539,1608
Double,789,1511,825,1603
Double,1306,1524,1341,1617
Double,1550,1524,1585,1617
Double,1533,1700,1568,1757
Double,1288,1701,1325,1757
Double,774,1686,808,1743
Double,279,1916,313,2009
Double,792,1916,827,2002
Double,1036,1917,1071,2002
Double,1306,1917,1341,2001
Double,263,2092,297,2149
Double,792,2065,827,2121
Double,1036,2065,1070,2122
Double,1307,2065,1341,2121
Double,276,2301,312,2386
Double,518,2301,552,2386
Double,258,2491,295,2548
Double,501,2492,537,2547
Four,1292,2336,1317,2386
Four,1548,2336,1573,2386
Four,1293,2519,1316,2534
Four,1549,2519,1572,2535
RestOne,1631,1286,1645,1328
RestOne,1631,1122,1645,1164
RestOne,919,2322,933,2364
RestOne,919,2477,933,2519
