classTitle,x1,y1,x2,y2
GClef,288,501,326,605
GClef,181,840,219,944
GClef,181,1177,218,1281
GClef,181,1516,219,1619
GClef,180,1883,218,1987
GClef,180,2220,218,2323
FClef,181,2396,220,2446
FClef,181,2061,220,2108
FClef,181,1693,220,1740
FClef,181,1355,221,1401
FClef,181,1017,221,1064
FClef,289,679,328,725
Half,633,870,665,925
Half,694,862,727,920
Half,755,869,787,927
Half,815,876,848,933
Half,877,883,908,940
Half,938,877,970,933
Half,632,1552,663,1609
Half,692,1545,724,1603
Half,752,1552,784,1610
Half,812,1559,846,1616
Half,876,1552,905,1610
Half,936,1559,966,1615
One,947,538,981,595
One,1668,510,1702,566
One,858,1221,891,1277
One,1653,1200,1686,1256
One,1423,1545,1456,1601
One,1543,1538,1576,1594
One,1664,1545,1699,1601
One,1649,1707,1683,1762
One,379,1906,411,1977
One,501,1906,533,1976
One,769,1906,803,1977
One,891,1906,925,1977
One,1160,1912,1192,1983
One,1282,1913,1314,1984
One,1549,1913,1583,1983
One,1671,1913,1705,1983
One,379,2243,412,2312
One,501,2243,533,2312
One,768,2242,803,2312
One,890,2243,924,2312
One,1159,2249,1193,2320
One,1282,2250,1315,2320
One,1548,2250,1583,2320
One,1671,2249,1704,2319
Double,393,531,427,586
Double,745,531,779,587
Double,1099,545,1135,601
Double,1452,545,1487,601
Double,1452,657,1487,727
Double,1099,657,1135,728
Double,745,685,779,755
Double,393,685,427,755
Double,240,869,276,925
Double,1024,882,1059,940
Double,1430,848,1465,905
Double,240,1024,275,1094
Double,630,1023,665,1094
Double,1023,995,1059,1066
Double,1415,995,1449,1065
Double,242,1215,275,1268
Double,631,1214,665,1270
Double,1038,1207,1072,1263
Double,1428,1207,1463,1263
Double,1411,1368,1446,1424
Double,1020,1369,1056,1425
Double,631,1347,665,1417
Double,241,1347,275,1417
Double,241,1552,275,1608
Double,1034,1545,1069,1602
Double,241,1686,275,1756
Double,629,1686,664,1756
Double,1017,1706,1052,1763
Double,1406,1707,1441,1763
Double,1411,2053,1446,2109
Double,1021,2053,1056,2109
Double,631,2082,665,2137
Double,241,2081,275,2137
Double,240,2418,276,2474
Double,631,2418,665,2474
Double,1021,2389,1056,2446
Double,1411,2390,1446,2446
RestOne,257,1912,271,1954
RestOne,647,1912,661,1954
RestOne,1038,1912,1052,1954
RestOne,1427,1912,1442,1954
RestOne,1428,2249,1442,2291
RestOne,1038,2249,1052,2291
RestOne,647,2249,661,2291
RestOne,257,2249,271,2291
