classTitle,x1,y1,x2,y2
Half,649,523,683,586
Half,753,515,787,585
Half,858,530,891,585
Half,960,523,994,586
Half,525,868,559,931
Half,641,861,674,931
Half,756,875,788,931
Half,869,868,904,932
Half,576,1192,610,1277
Half,683,1190,717,1264
Half,790,1188,823,1249
Half,897,1186,932,1242
Half,470,1353,503,1411
Half,1312,1353,1346,1411
Half,576,1538,609,1623
Half,684,1536,716,1609
Half,790,1534,824,1595
Half,897,1531,932,1588
Half,1296,1715,1331,1773
Half,469,1698,501,1757
Half,527,1920,561,1975
Half,643,1912,677,1973
Half,758,1905,791,1970
Half,873,1898,907,1968
Half,1354,1891,1388,1962
Half,1461,1898,1495,1963
Half,1567,1905,1600,1966
Half,1673,1912,1706,1968
Half,564,2242,599,2313
Half,670,2249,704,2315
Half,777,2257,809,2317
Half,882,2263,916,2320
Double,1088,536,1123,593
Double,1449,515,1485,572
Double,1009,882,1043,938
Double,1390,854,1425,910
Double,1028,1214,1061,1271
Double,576,1355,612,1411
Double,1446,1355,1480,1412
Double,1012,1566,1047,1623
Double,1430,1715,1464,1770
Double,576,1701,611,1756
Double,1011,2390,1047,2461
Double,1395,2390,1430,2460
Four,393,692,417,720
Four,1105,684,1128,720
Four,241,1037,264,1066
Four,1025,1030,1048,1066
One,241,1355,276,1411
One,1028,1355,1060,1411
One,241,1700,275,1757
One,1013,1714,1046,1770
One,1012,1891,1047,1946
One,222,2263,256,2320
Four,238,2397,262,2427
Four,241,2074,264,2103
Four,1028,2060,1052,2089
Four,1029,2284,1052,2299
