classTitle,x1,y1,x2,y2
Half,936,303,971,361
Half,1717,303,1752,361
Half,936,803,970,860
Half,1193,810,1226,875
Half,1263,811,1295,868
Half,1334,810,1366,876
Half,1610,818,1644,882
Half,1672,818,1704,876
Half,1733,818,1767,882
Half,1428,972,1461,1050
Half,1489,969,1521,1036
Half,1550,966,1583,1022
Half,408,1306,441,1362
Half,477,1308,508,1375
Half,546,1312,580,1390
Half,642,1325,677,1390
Half,702,1323,735,1390
Half,761,1319,794,1376
Half,821,1297,854,1354
Half,880,1301,914,1376
Half,940,1305,973,1390
Half,1083,1324,1116,1390
Half,1143,1320,1176,1375
Half,1204,1305,1235,1362
Half,1263,1307,1296,1376
Half,1323,1311,1357,1390
Half,1471,1324,1503,1390
Half,1536,1320,1569,1375
Half,1704,1318,1739,1375
Half,939,1468,973,1526
Half,1323,1468,1356,1525
Half,797,1793,831,1851
Half,1422,1793,1455,1852
Half,482,2281,515,2353
Half,686,2290,721,2366
Half,741,2289,775,2347
Half,797,2289,830,2353
Half,1068,2296,1101,2352
Half,1115,2301,1148,2359
Half,879,2448,913,2528
Half,926,2446,961,2514
Half,974,2443,1007,2499
One,259,297,293,353
One,441,297,474,353
One,650,297,683,353
One,813,297,847,353
One,1040,318,1075,374
One,1223,318,1256,374
One,1432,318,1465,375
One,1595,318,1629,374
One,1579,466,1613,542
One,1416,466,1450,536
One,259,797,293,853
One,441,797,474,853
One,647,797,681,854
One,812,797,845,854
One,1041,818,1075,875
One,1428,826,1462,882
One,1596,987,1629,1043
One,259,1333,292,1390
One,1601,1298,1633,1354
One,1204,1462,1237,1518
One,1023,1462,1056,1518
One,821,1476,854,1532
One,643,1476,676,1532
One,259,1788,293,1843
One,402,1788,434,1844
One,572,1788,606,1843
One,700,1788,733,1844
One,885,1809,917,1865
One,1027,1809,1061,1866
One,1197,1809,1231,1864
One,1325,1809,1359,1865
One,1509,1788,1544,1843
One,1652,1788,1685,1843
One,259,2275,293,2331
One,386,2275,421,2345
One,569,2296,603,2367
One,879,2303,914,2374
One,1005,2465,1039,2520
Double,243,465,277,549
Double,634,464,669,549
Double,1024,465,1060,557
Double,243,965,277,1050
Double,630,993,665,1050
Double,1025,965,1060,1057
Double,259,1462,293,1518
Double,1407,1477,1440,1532
Double,242,1944,277,2028
Double,555,1944,590,2028
Double,867,1944,903,2035
Double,1181,1944,1216,2035
Double,1493,1944,1528,2028
Double,243,2443,277,2527
Double,554,2465,588,2534
Double,1174,2478,1208,2534
Double,1484,2479,1519,2534
Double,1500,2310,1535,2388
Double,1190,2310,1225,2388
