classTitle,x1,y1,x2,y2
Half,490,526,524,586
Half,580,513,614,570
Half,671,520,705,584
Half,890,541,925,597
Half,981,541,1015,597
Half,348,959,382,1018
Half,448,947,480,1004
Half,547,953,582,1018
Half,795,975,828,1032
Half,895,975,928,1031
Half,448,1381,483,1439
Half,548,1387,582,1453
Half,792,1409,828,1466
Half,893,1410,928,1467
Half,447,1816,482,1872
Half,548,1822,582,1887
Half,348,1829,382,1887
Half,793,1845,828,1900
Half,893,1843,929,1902
Half,433,2270,468,2334
Half,533,2283,566,2340
Half,794,2255,828,2313
Half,893,2256,928,2313
Half,1021,2263,1054,2320
Half,1135,2270,1168,2327
Half,1266,2240,1300,2298
Half,349,2240,380,2298
Half,347,1394,383,1452
One,761,513,795,570
One,1112,506,1146,563
One,1600,662,1636,718
One,648,946,682,1004
One,1035,940,1069,996
One,1580,1096,1615,1152
One,648,1382,682,1439
One,1035,1375,1069,1431
One,1580,1530,1615,1587
One,648,1816,682,1872
One,1035,1809,1069,1865
One,1558,1993,1593,2049
One,633,2270,667,2326
Double,1094,668,1131,739
Double,1018,1102,1054,1173
Double,1018,1537,1054,1607
Double,1018,1971,1054,2042
Double,231,2419,267,2475
Double,630,2426,668,2482
Double,1019,2432,1053,2490
Double,1495,2398,1531,2454
Four,400,676,424,719
Four,247,1544,271,1587
Four,247,1978,271,2021
Four,247,1109,271,1153
