classTitle,x1,y1,x2,y2
Half,521,486,561,545
Half,587,490,629,564
Half,900,485,941,545
Half,966,488,1008,563
Half,1279,485,1320,546
Half,1345,488,1384,563
Half,390,691,434,761
Half,456,688,498,751
Half,770,690,810,759
Half,836,687,875,751
Half,1148,690,1190,760
Half,1214,686,1255,752
Half,419,906,459,980
Half,491,923,532,985
Half,832,906,874,980
Half,907,924,947,984
Half,273,1122,313,1186
Half,346,1114,386,1183
Half,690,1121,730,1187
Half,763,1113,803,1182
Half,1106,1121,1147,1186
Half,1180,1113,1220,1183
Half,393,1339,433,1399
Half,464,1330,503,1397
Half,825,1332,865,1399
Half,894,1329,937,1389
Half,1239,1321,1279,1382
Half,1304,1313,1348,1380
Half,255,1547,294,1612
Half,324,1538,364,1609
Half,687,1538,729,1608
Half,756,1534,795,1600
Half,1099,1530,1140,1594
Half,1169,1521,1209,1592
Half,443,1735,485,1809
Half,534,1751,576,1812
Half,998,1747,1040,1812
Half,1089,1750,1131,1830
Half,262,1957,303,2021
Half,354,1948,394,2018
Half,816,1965,857,2036
Half,907,1962,948,2026
Half,1346,1974,1385,2039
Half,1437,1965,1477,2036
One,653,484,695,554
One,1032,485,1073,554
One,1410,485,1451,554
One,562,915,604,984
One,978,915,1021,985
One,1250,906,1291,975
One,1351,915,1392,984
One,530,1322,571,1390
One,945,1364,985,1434
One,1375,1305,1417,1373
One,625,1742,667,1812
One,1181,1752,1222,1821
One,1526,1751,1568,1820
One,1653,1760,1694,1829
Double,1506,527,1548,597
Double,1476,923,1519,993
Double,1497,1312,1538,1381
Double,239,2187,279,2272
Double,624,2187,664,2273
Double,1007,2187,1049,2272
Double,1392,2187,1435,2273
Double,623,2384,664,2453
Double,1027,2368,1070,2437
Double,1412,2367,1455,2438
