classTitle,x1,y1,x2,y2
Half,19,133,58,204
Half,82,134,122,205
Half,143,134,185,201
Half,205,134,247,201
Half,269,133,307,203
Half,330,133,370,204
Half,393,132,432,200
Half,455,133,495,202
Half,514,133,556,200
Half,580,131,620,202
Half,636,133,681,198
Half,700,133,742,201
Half,19,277,61,354
Half,82,278,120,351
Half,143,277,186,351
Half,205,282,247,350
Half,268,281,308,350
Half,330,282,370,351
Half,389,283,432,351
Half,455,285,493,349
Half,517,282,555,350
Half,579,284,620,350
Half,639,283,681,350
Half,701,285,743,350
